Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Quality_label
1.7459199968237725e-05,2.5025091727434488e-05,5.926439205508396e-08,5.0869369104608975e-06,0.019130106248180484,0.016646116727128023,1.681307462497814e-05,0.0008874833342791698,2.9603433781794253e-10,1.772693060287755e-05,1.1044059949508046e-10,1.2740597591360179e-06,0.000412379300343586,9.732931661506971e-09,6.100277050570411e-10,2.478495970315468e-10,1.8139910691523472e-08,5.1041792232321074e-11,8.180410328026549e-12,5.655359983844608e-13,0.3333333333333333
1.0906897146407933e-06,3.0502519884929276e-06,8.598414813816499e-05,2.1336304254857047e-05,0.019130106248180484,0.016646116727128023,1.681307462497814e-05,0.0008874833342791698,2.9603433781794253e-10,1.772693060287755e-05,4.4036127940317184e-08,2.4986242096061257e-09,0.0003471407789464625,9.945627525576714e-07,6.255176984370975e-09,1.066953589140399e-08,3.6090131070380016e-09,4.666626712713612e-10,1.078263594330279e-10,2.5364322921354e-12,0.6666666666666666
1.0577077272029155e-09,7.471646210042779e-09,0.00023094216567113402,2.6913208177222088e-05,0.019130106248180484,0.016646116727128023,1.681307462497814e-05,0.0008874833342791698,2.9603433781794253e-10,1.772693060287755e-05,4.631689807093365e-08,1.2080306961117407e-10,2.2793056259392572e-07,2.668040978827356e-08,1.3719638997885152e-10,1.493710776206234e-08,6.050535595914968e-10,2.5069379893616115e-11,1.6865747687427856e-11,4.755113842769882e-12,1.0
0.00012193685750300928,2.5539750529504888e-08,0.00026373199179610164,5.239345682974267e-06,0.021352438301433463,0.020230769443514717,1.681307462497814e-05,0.0008874833342791698,2.9603433781794253e-10,1.772693060287755e-05,5.324178078273837e-13,4.227476493502947e-05,0.0005689329264695682,8.081050877675825e-07,4.504827852632974e-09,1.356810158215247e-08,6.968934889630615e-06,1.1777287557471184e-07,7.807585968089968e-09,2.0322280634868137e-11,0.3333333333333333
3.994448270542261e-06,0.0004162335092680861,6.04273764682886e-06,0.0002379467158052972,0.019130106248180484,0.011269740846446146,1.681307462497814e-05,0.0008874833342791698,2.9603433781794253e-10,1.772693060287755e-05,0.0012853155170060447,1.918605132875726e-09,5.1349102464789094e-05,2.6466263895707953e-06,6.4446558346068755e-09,5.210979082910199e-08,1.2201160810958695e-08,2.4162079721507524e-09,5.337950825401123e-12,1.1834298154325475e-11,0.6666666666666666
3.552846917785918e-09,1.5222448962615136e-06,4.442745525518516e-05,3.7687488192803096e-06,0.02660159359204416,0.029882111076724754,1.681307462497814e-05,0.0008874833342791698,4.464579231396954e-07,9.977220690815738e-05,2.868555824482906e-07,1.4396310984696864e-09,7.228158710450537e-05,8.574900400837559e-07,7.941830635367856e-09,5.992514176250679e-09,2.1839165897400576e-10,5.710558383130472e-11,3.7072820610763244e-08,1.0578432295087214e-09,0.6666666666666666
3.286022367618773e-07,5.374981391935256e-06,0.0026190238436210244,0.0026876104583862166,0.015355260366467647,0.09629586618658213,1.681307462497814e-05,0.0008874833342791698,4.464579231396954e-07,9.977220690815738e-05,8.894846127594831e-10,6.907197457044473e-06,1.2331069517598313e-08,1.766250053524233e-05,3.8435907633630826e-07,1.5579033288626642e-09,6.8176436155370495e-06,6.629129911786835e-08,6.566634842654225e-09,2.4648752372664265e-12,0.0
1.8631023313295523e-05,5.0074494145023935e-09,0.000551561487487797,9.244412597514328e-06,0.02660159359204416,0.029882111076724754,1.681307462497814e-05,0.0008874833342791698,4.464579231396954e-07,9.977220690815738e-05,1.9009099183265544e-08,3.012608327393989e-12,2.3695838535389297e-06,4.513815148883494e-06,3.5144450723017323e-07,1.9413268294004007e-10,3.087034832998874e-07,2.2713679980368677e-07,9.457695777176009e-07,5.3475042621812885e-09,0.0
3.090135279284356e-07,8.6402285834533e-05,4.95480591682782e-06,1.1016516625191265e-05,0.041288393474206465,0.029882111076724754,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,2.4635609277772345e-12,1.1660668007279801e-06,2.217620788524415e-05,1.4902941439865934e-07,1.1817944330773155e-10,3.083707943310902e-07,8.45162681147269e-08,8.076859059882071e-10,1.5647599390057704e-10,5.805742568120181e-12,1.0
2.8606659859750007e-07,1.7025651949544305e-06,3.464260839773899e-07,3.6982201196571635e-07,0.0460848377978069,0.14223497099529347,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,5.669056523608438e-07,0.00016141514531750712,8.740589727432123e-08,5.600287006940376e-08,1.2924757050239797e-10,5.467503901485548e-08,1.3086075344515075e-09,1.0836671024551354e-10,6.980946878106647e-12,5.99596516493053e-13,1.0
4.9879251082304214e-05,1.3595362911940166e-07,7.240447964704984e-08,0.000367944631317594,0.0460848377978069,0.14223497099529347,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.6256899200335666e-05,4.019304001220681e-07,5.4677278483487286e-05,1.1078106688483298e-07,6.703458514377357e-11,4.752149535270982e-07,1.3698717798238335e-09,9.698784234236203e-11,4.4298429585576436e-10,1.9198156428717492e-11,1.0
1.8911314442244683e-06,1.8325913091216399e-09,8.485927190728585e-05,4.339476068020681e-06,0.06408380509269258,0.09629586618658213,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,7.961244997825283e-10,1.7323760853509023e-08,1.2192024633430912e-07,1.284898373665718e-07,7.115726717334574e-11,5.489029478782781e-07,3.2255889183309375e-07,2.2838244665228679e-10,3.210678108957389e-10,1.6652204470624275e-11,0.6666666666666666
4.1453986142739614e-08,6.107448851903384e-07,1.6623579219001776e-06,0.010772662897773618,0.0715283759685041,0.06519418836460875,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.1869346945834313e-11,1.379999669274699e-09,4.553938150595135e-06,1.431184566363936e-08,4.414244940176789e-11,3.3813315317428136e-08,1.6248664965871386e-08,6.03956652128845e-11,4.288104823015132e-11,8.172791983686903e-12,1.0
5.883708758208723e-05,7.943617512423237e-08,9.46769059843837e-05,2.2422540094674276e-07,0.05143848160444845,0.06519418836460875,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,7.346341357797656e-07,0.00021304657963606126,4.577729546353461e-07,1.431184566363936e-08,1.3379703788752517e-11,2.4251027561131433e-07,9.158378595744862e-09,1.8832793846137133e-10,9.28881435424247e-11,1.1517921547174409e-10,0.3333333333333333
4.4692327708342047e-07,9.254310278362284e-11,1.6086912996989414e-09,6.203054166683827e-09,0.06408380509269258,0.1728644769107234,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,2.1059054119123475e-08,1.1803332927252485e-07,1.0335547256601137e-05,3.187696261052131e-08,1.741902506340735e-10,1.356810158215247e-08,2.3711009288013087e-10,1.766661857959464e-11,5.7872671217908745e-11,1.6185017021211677e-11,1.0
1.769466539072778e-07,4.788864536935897e-08,2.5805260438923294e-08,1.0439684610061125e-06,0.06408380509269258,0.1728644769107234,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,7.083346622217515e-11,5.690141278678017e-12,0.0003215328458237838,3.880841850027286e-09,3.0855599991500516e-11,6.922289330352157e-09,1.8980722596902305e-10,8.49761302461528e-12,2.6301015992874045e-09,5.642554782886739e-12,0.3333333333333333
2.5782890065139254e-07,7.072035246579035e-07,2.7754855361291047e-06,0.0143074414278065,0.036991156119555106,0.03631706071009628,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,3.726830527492808e-07,3.597800736937814e-13,8.398286517529149e-08,1.709939383847957e-08,1.1817944330773155e-10,9.236711445091654e-09,1.799707251381379e-09,1.244588377079893e-10,2.50317653432755e-09,6.339513553295225e-11,1.0
7.826285493284092e-08,7.536345015589803e-09,0.0012982720987857247,8.975953147658263e-09,0.036991156119555106,0.03631706071009628,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,0.0016543063571704151,1.2296939802072319e-12,2.495128105843224e-05,7.677068816301331e-09,9.034425776730325e-11,3.8873197657732016e-09,7.0246425711647835e-09,2.925490589140168e-10,1.446878749111343e-11,1.823368851614932e-14,0.6666666666666666
5.909103002240159e-09,6.325462299300601e-09,2.3679177276547864e-06,2.6809383724455562e-08,0.036991156119555106,0.04413774054374569,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,6.689118110495731e-09,2.6519849949265924e-06,8.912167124767483e-06,6.2377434013592135e-09,1.3719638997885152e-10,1.4148185287252309e-09,2.412667670691329e-09,3.245513386264076e-11,2.385030341796866e-10,1.6033933605972596e-12,1.0
1.7691713078018955e-05,1.439461780767265e-06,2.4997563810628884e-07,1.32446585742886e-05,0.036991156119555106,0.05364255978013393,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.1767094726537727e-09,5.336362704727764e-07,0.0005548339030803286,1.284898373665718e-07,2.89298522417631e-10,5.7366559735566444e-08,1.0527324027646437e-07,3.9578967584549257e-10,6.108732603840926e-12,1.5579870933679107e-12,1.0
4.216970442510157e-06,1.830816785592609e-06,0.0025278949815510294,0.001071606311575044,0.041288393474206465,0.06519418836460875,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,5.6611869797309245e-09,7.400467849140667e-07,4.513536584864838e-06,1.2339319716697186e-08,6.873692259334726e-10,3.161546366870927e-10,2.1560226037084643e-09,9.174880511569224e-11,2.6335182284758096e-10,1.238652231147817e-13,0.3333333333333333
5.3631033591292875e-08,7.448566803408733e-07,0.00026300644731426856,1.3068376801768065e-05,0.041288393474206465,0.06519418836460875,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.3999630352886197e-06,4.2361263622541643e-10,9.295191795704483e-06,1.709939383847957e-08,1.113324169607546e-10,9.691562498389356e-09,3.7487838704521354e-08,1.153370662487992e-09,5.337950825401123e-12,7.142070420587431e-13,1.0
1.1801797525347257e-06,3.23235308529862e-09,4.94635962637595e-07,1.878805805420731e-06,0.041288393474206465,0.11703264433658175,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.8684151300299698e-05,4.1317727666155886e-10,3.467572508575642e-05,1.9253246437021318e-08,4.827663481982782e-11,4.733469371583972e-08,4.217763014270217e-09,4.9626752805052975e-11,8.409195525344295e-11,5.823027769529038e-10,1.0
7.882069332241212e-05,2.787304585685616e-06,5.673308603189978e-06,6.186319960763761e-07,0.041288393474206465,0.07923339517485438,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,7.75941974330431e-12,2.5522372801197154e-08,1.147766033730362e-05,4.288289264239121e-08,5.413885071245255e-10,3.5307931704483247e-09,3.17322396411347e-10,1.8320684019864879e-10,2.4117826239190284e-12,2.613546392852119e-13,0.6666666666666666
2.157236386645272e-06,4.986804354586947e-09,1.9247243539141604e-08,2.106149929128527e-06,0.041288393474206465,0.11703264433658175,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,2.360337794676595e-08,6.777562613104415e-09,0.0002653763920551549,5.7066845055507795e-09,4.973901415630534e-11,6.287671904234416e-09,8.430730833734578e-10,2.7332165542533986e-11,5.337950825401123e-12,2.92638459969013e-12,1.0
1.841326547434305e-08,5.089919204513407e-07,8.462383220471359e-06,9.978965472002024e-05,0.06408380509269258,0.14223497099529347,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.8829217961330155e-12,4.516157135139564e-11,1.9793438005943894e-05,1.4902941439865934e-07,1.9627474063479418e-10,1.3624010301980962e-07,5.755334867010722e-09,1.429106240834682e-10,1.0518025964107025e-10,3.0985617795356158e-12,1.0
4.073520227016171e-05,2.99842751933399e-07,5.476857508718543e-08,1.0246275277164352e-06,0.041288393474206465,0.04413774054374569,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,2.433642886409906e-08,5.211774374742451e-10,1.109376190430546e-07,5.878480678330044e-09,2.2221400480078007e-11,2.4154083310601435e-08,1.2461097664016497e-10,1.766661857959464e-11,5.6446579474547603e-11,1.7132863614269152e-11,0.3333333333333333
4.435709363061016e-06,2.572791454071563e-10,6.394981547524477e-05,3.910825583127493e-06,0.041288393474206465,0.04413774054374569,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.5658675014438554e-07,1.9576967999728707e-09,3.395956334615689e-05,6.4255259964661845e-09,3.3585119279291677e-10,3.4841542750025045e-10,1.9809669161424436e-08,2.1614512995246595e-10,3.055515299873142e-10,1.486056167001566e-11,0.3333333333333333
7.884946550062722e-08,4.5032909870833446e-08,6.31956725153201e-06,0.05986766993242498,0.041288393474206465,0.03631706071009628,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,2.326866224932687e-09,2.4515935919909988e-11,0.007802973426037482,8.904318268649177e-09,2.503873627023611e-11,3.905701874501228e-08,1.1938594137499471e-09,3.065320831549793e-11,1.4891032117227149e-09,1.3644377911952262e-11,1.0
1.4762199287153858e-06,4.0331474784246635e-08,1.8603169446845973e-07,4.17217193759133e-06,0.0460848377978069,0.09629586618658213,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,5.055283618142348e-08,1.794364353598999e-08,5.99639399966387e-08,1.3093417373406157e-08,4.526351081017327e-10,6.538878326723442e-10,3.0126211866672623e-10,3.9578967584549257e-10,5.108210090548201e-11,2.262014213589094e-12,1.0
3.2956412942844175e-07,1.121765255964391e-09,0.00015772609880918836,6.05217094934614e-07,0.0460848377978069,0.09629586618658213,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,2.4416796381235704e-09,7.526718006526437e-12,0.0009647833357733709,9.91579327676911e-10,8.810511290037893e-12,5.711203755567235e-09,6.657714415148635e-10,6.342002725727333e-12,3.337370048636178e-11,9.545197009052614e-13,0.3333333333333333
6.057766895312118e-06,5.492245735364068e-08,8.234328823363118e-06,0.0009687692395426251,0.0460848377978069,0.09629586618658213,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.3687875463826191e-11,7.805780593582467e-09,2.157001502183645e-05,1.5643654298199272e-08,1.2544756605050177e-10,6.922289330352157e-09,2.0609954423595403e-09,9.174880511569224e-11,4.169380922539079e-12,6.161785863009157e-11,1.0
3.7970766836425303e-08,5.666076816587382e-08,0.000234156294209436,7.165733410584212e-06,0.06408380509269258,0.14223497099529347,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.7145758668872516e-08,9.197346536786064e-12,6.618205163317049e-05,1.904403807236958e-09,1.9141242141686288e-11,5.187556731783631e-09,5.362816762753275e-10,2.3660831005025055e-11,5.108210090548201e-11,8.917465235278374e-11,0.3333333333333333
8.296589623665062e-05,3.80773376586808e-07,2.4773198953830447e-06,5.582675621473333e-06,0.0460848377978069,0.09629586618658213,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,2.325722115035294e-10,4.68944935339517e-07,1.3432070131471007e-06,1.6114582256581154e-08,2.4919856021243205e-10,2.5212365289517454e-09,9.785562425426512e-09,8.769115918936616e-10,2.9078389554638535e-10,3.0264530264000417e-11,1.0
5.0236227024235374e-05,5.6399221248846794e-08,1.3916977254379084e-05,6.128380693884656e-06,0.0460848377978069,0.07923339517485438,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,8.848662700357925e-06,6.722186072817802e-11,0.004794864992771238,2.1443148807297944e-09,1.5076057657535595e-11,8.8031997019787e-09,6.347462798389091e-10,3.065320831549793e-11,6.083285159223474e-11,9.82524541361195e-13,0.3333333333333333
1.9241286158090284e-10,3.0057598492798906e-08,0.003029396009996957,2.758352292819884e-06,0.033141168996520844,0.09629586618658213,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.530968940579798e-10,1.6591476154222393e-07,8.421897868380103e-05,5.436627814541288e-08,1.1525101106300427e-11,2.5543750923913812e-06,2.0086603819594815e-10,3.959840248877663e-11,4.880572897738242e-09,9.711497059236258e-11,0.3333333333333333
0.0015360443022326392,2.794758515070183e-07,1.278245773309581e-07,3.4167663944971917e-06,0.033141168996520844,0.09629586618658213,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,3.5354766718186146e-08,2.838562326523867e-07,0.0003486275065398088,3.589217888576985e-08,2.0222020814541015e-10,1.2931382927687214e-08,1.741031190589364e-10,5.399073726335099e-11,2.5690735853225984e-10,7.720164432222966e-12,0.3333333333333333
2.869858829914082e-06,1.1193593697222846e-08,1.320568048426581e-06,9.939178903277215e-07,0.05741405435682342,0.06519418836460875,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.890718159090545e-09,2.1392857497519286e-08,0.0016961930179787538,1.3634212794541133e-07,1.6826507145335596e-09,3.704774415982122e-09,1.589468990531665e-08,1.3226962822766008e-09,6.7977726353341705e-12,3.13059974075218e-13,0.6666666666666666
6.228408270435694e-07,1.585630319049018e-05,6.112401831473785e-06,3.023641385506508e-07,0.06408380509269258,0.14223497099529347,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,3.7431415678319665e-10,9.394316339413473e-11,5.528205339058293e-06,7.234911842893646e-09,1.5076057657535595e-11,6.315358745050491e-08,2.467463793027827e-09,1.025961758648619e-11,3.2857519974187787e-09,3.69317065640844e-11,0.3333333333333333
5.840389186586827e-09,1.7930065684193676e-06,1.615945104003012e-10,1.3660660307702463e-08,0.06408380509269258,0.14223497099529347,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,2.9797052849858258e-08,8.202422804733514e-08,4.114658301666009e-06,2.0429868131533284e-08,4.414244940176789e-11,6.019056866782052e-08,2.20512352711244e-09,6.210947838522189e-11,1.446878749111343e-11,3.4241400996744594e-13,1.0
1.7180684143710013e-07,1.7768550081275612e-07,1.464848387064982e-06,3.07533313690806e-05,0.06408380509269258,0.14223497099529347,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.6907584918605653e-05,1.3562575109945164e-07,1.8368545500475705e-06,1.659968652061953e-08,2.2115918124430154e-10,3.2069347040729973e-09,4.7135486303780336e-09,1.0836671024551354e-10,4.169380922539079e-12,1.850836169918477e-12,1.0
0.00012258593723495117,0.0009260824839849597,3.728960969710052e-09,2.3225342291433318e-05,0.0460848377978069,0.07923339517485438,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,1.1617558284546857e-06,1.2984369783759424e-07,0.0030410175534298944,8.738166474907763e-08,1.4494169320471235e-09,2.289882596540399e-09,5.947101120989901e-08,3.265378443524177e-09,1.7713607424856976e-10,2.6857961027007587e-12,1.0
0.0005474780002957282,5.3827382683302285e-08,1.168032717721545e-06,0.00011947582654883811,0.041288393474206465,0.07923339517485438,1.681307462497814e-05,0.0008874833342791698,3.90290375138283e-08,0.000727591881202605,2.758235949907571e-10,3.112798841259148e-12,4.099083201991664e-08,3.767423103959862e-09,2.083457729278107e-10,3.161546366870927e-10,1.554839936234819e-08,6.666398388157663e-10,6.546969544857525e-08,4.910355052412485e-09,0.3333333333333333
0.1193553718018005,1.7027336133265908e-06,1.9375526667509335e-08,4.68408213288727e-05,5.6484909626332844e-05,0.00027707016234474044,0.00410248781093503,5.828822452589065e-07,3.4099922154466674e-09,0.0002704815842264722,1.1330281230963915e-11,1.1840411634367474e-08,5.448608563989217e-06,4.987395394894651e-05,1.9050407536955077e-10,0.00175945969647452,4.277239290377095e-08,4.050614890878767e-08,6.52694542139594e-07,5.034277119959823e-12,0.0
3.30972530272143e-08,2.2668598073831855e-08,1.8583186627033615e-06,0.00018602158732109803,0.0001360901298306899,0.00040926116019718067,0.00410248781093503,5.828822452589065e-07,4.464579231396954e-07,0.05208269849530337,7.095686045958012e-08,3.2723885515890455e-08,4.790674634359268e-07,5.942533555037793e-08,6.939325297926063e-12,6.364781139578194e-06,3.2140838341036995e-08,2.8947256104817028e-11,6.406246669845753e-09,6.710491440978197e-11,0.3333333333333333
6.962787610864938e-05,4.8147410920319935e-06,1.4895280166020164e-08,0.00040246056038321644,0.13831165934124398,0.21008987460229178,6.64847242013557e-05,0.0007258600323919689,2.9603433781794253e-10,0.000727591881202605,3.2761104314751344e-12,1.1639523413795766e-10,2.598111641365307e-06,1.7422534186397786e-09,6.703458514377357e-11,5.656145347540835e-10,6.050535595914968e-10,9.971687240821471e-11,3.3737069096716647e-10,4.9080420731834764e-11,1.0
9.408230264921222e-05,8.29749350371578e-09,0.00019941963290386313,4.638023239643079e-06,0.07983777728194964,0.2553315522552553,6.64847242013557e-05,0.0007258600323919689,2.9603433781794253e-10,0.000727591881202605,5.336309380740712e-07,2.4840009346017235e-05,6.37629667858453e-06,1.1165121963194123e-09,5.604513140180289e-11,3.6574637033585814e-10,7.149390380843083e-10,3.8492278977873854e-11,1.7300965497496153e-11,8.172791983686903e-12,0.3333333333333333
8.423221778164189e-08,1.1039635633239496e-05,1.3580803405248093e-07,2.3727671986320384e-05,0.09946460928594043,0.2553315522552553,6.64847242013557e-05,0.0007258600323919689,2.9603433781794253e-10,0.000727591881202605,1.2038509451623252e-11,3.6673266986428047e-08,2.6889137321165506e-05,4.369702533490577e-09,4.284461424684179e-11,5.44309099658348e-09,8.235411939344219e-10,9.174880511569224e-11,6.91610278536425e-10,7.737708191593292e-10,1.0
1.8653005529813678e-06,7.189509928719971e-08,5.2328664868984194e-08,1.1765577939557211e-07,0.09946460928594043,0.2553315522552553,6.64847242013557e-05,0.0007258600323919689,2.9603433781794253e-10,0.000727591881202605,1.9233089441378227e-10,3.969009632887776e-10,0.0007190382738043807,2.718600037386435e-09,1.2175928524513642e-10,4.440315476067354e-10,9.256322082345184e-10,2.8461449683936625e-10,5.128020270886609e-09,2.553275947082492e-10,0.6666666666666666
5.075545913424001e-05,1.937046050348913e-06,0.00115194014709764,1.6426279374071433e-06,0.11101934270633866,0.2553315522552553,6.64847242013557e-05,0.0007258600323919689,2.9603433781794253e-10,0.000727591881202605,2.8824175121982684e-08,2.8332311413445137e-05,4.4159717155347655e-05,5.436627814541288e-08,8.991481588241799e-10,2.289882596540399e-09,3.0089087331887054e-08,1.47146666560066e-08,2.9676246011460544e-08,1.4463167950502431e-08,0.6666666666666666
3.563857155881047e-08,1.940960960181312e-06,4.10161306441944e-06,3.618714259695584e-07,0.12391638118735082,0.2553315522552553,6.64847242013557e-05,0.0007258600323919689,2.9603433781794253e-10,0.000727591881202605,3.93519572793383e-08,3.871066386470014e-09,3.7756737435049103e-05,1.4742682296068677e-08,3.2597685070243043e-10,1.484642413033723e-09,5.151271883640469e-09,1.7877735216464045e-09,1.2184773237442524e-08,8.424508920156834e-11,0.6666666666666666
